    1.0000E-02   8.31590E-11 0.9654
    2.0000E-02   6.61437E-10 0.3417
    3.0000E-02   1.08292E-10 0.7411
    4.0000E-02   5.94127E-10 0.3382
    5.0000E-02   1.27177E-09 0.2364
    6.0000E-02   2.87737E-09 0.1511
    7.0000E-02   8.05374E-09 0.0923
    8.0000E-02   2.13235E-08 0.0787
    9.0000E-02   2.66262E-08 0.0685
    1.0000E-01   2.88358E-08 0.0553
    2.0000E-01   6.02028E-07 0.0134
    3.0000E-01   5.20606E-07 0.0121
    4.0000E-01   3.08794E-07 0.0153
    5.0000E-01   4.48637E-07 0.0127
    6.0000E-01   2.39288E-07 0.0176
    7.0000E-01   2.28786E-06 0.0058
    1.0000E-02   1.10749E-10 0.4544
    2.0000E-02   2.25859E-10 0.3332
    3.0000E-02   2.89899E-10 0.3050
    4.0000E-02   5.43987E-10 0.2119
    5.0000E-02   9.55894E-10 0.1595
    6.0000E-02   3.73851E-09 0.0825
    7.0000E-02   8.88216E-09 0.0591
    8.0000E-02   1.87288E-08 0.0363
    9.0000E-02   2.44537E-08 0.0338
    1.0000E-01   2.98100E-08 0.0323
    2.0000E-01   6.03706E-07 0.0078
    3.0000E-01   5.32613E-07 0.0071
    4.0000E-01   3.08882E-07 0.0090
    5.0000E-01   4.37677E-07 0.0074
    6.0000E-01   2.36044E-07 0.0102
    7.0000E-01   2.26722E-06 0.0034
    1.0000E-02   1.06259E-10 0.3431
    2.0000E-02   1.35137E-10 0.3223
    3.0000E-02   2.81929E-10 0.2280
    4.0000E-02   4.93675E-10 0.1684
    5.0000E-02   1.32777E-09 0.1062
    6.0000E-02   3.81950E-09 0.0626
    7.0000E-02   9.20012E-09 0.0463
    8.0000E-02   1.77901E-08 0.0310
    9.0000E-02   2.36708E-08 0.0274
    1.0000E-01   3.18071E-08 0.0272
    2.0000E-01   5.96314E-07 0.0061
    3.0000E-01   5.28868E-07 0.0055
    4.0000E-01   3.15888E-07 0.0069
    5.0000E-01   4.21852E-07 0.0058
    6.0000E-01   2.33178E-07 0.0079
    7.0000E-01   2.24018E-06 0.0026
    1.0000E-02   1.24533E-10 0.2927
    2.0000E-02   3.26085E-10 0.1815
    3.0000E-02   2.37685E-10 0.2049
    4.0000E-02   5.21824E-10 0.1402
    5.0000E-02   1.12740E-09 0.0978
    6.0000E-02   3.77291E-09 0.0527
    7.0000E-02   8.63010E-09 0.0352
    8.0000E-02   1.96134E-08 0.0249
    9.0000E-02   2.37937E-08 0.0217
    1.0000E-01   3.00397E-08 0.0209
    2.0000E-01   5.98248E-07 0.0052
    3.0000E-01   5.25704E-07 0.0046
    4.0000E-01   3.13339E-07 0.0058
    5.0000E-01   3.89500E-07 0.0051
    6.0000E-01   2.31613E-07 0.0067
    7.0000E-01   2.23052E-06 0.0022
    1.0000E-02   1.28492E-10 0.2466
    2.0000E-02   2.73338E-10 0.1736
    3.0000E-02   2.95302E-10 0.1604
    4.0000E-02   5.09131E-10 0.1264
    5.0000E-02   1.12242E-09 0.0861
    6.0000E-02   3.75335E-09 0.0494
    7.0000E-02   8.40504E-09 0.0314
    8.0000E-02   1.86294E-08 0.0229
    9.0000E-02   2.30874E-08 0.0206
    1.0000E-01   3.05589E-08 0.0184
    2.0000E-01   5.89352E-07 0.0046
    3.0000E-01   5.17279E-07 0.0041
    4.0000E-01   2.99206E-07 0.0052
    5.0000E-01   3.58469E-07 0.0047
    6.0000E-01   2.28553E-07 0.0060
    7.0000E-01   2.19971E-06 0.0019
    1.0000E-02   1.03475E-10 0.2434
    2.0000E-02   1.74945E-10 0.1876
    3.0000E-02   3.64321E-10 0.1330
    4.0000E-02   5.12512E-10 0.1130
    5.0000E-02   1.25811E-09 0.0729
    6.0000E-02   3.83778E-09 0.0423
    7.0000E-02   9.39625E-09 0.0293
    8.0000E-02   1.84296E-08 0.0210
    9.0000E-02   2.38336E-08 0.0188
    1.0000E-01   2.94863E-08 0.0169
    2.0000E-01   5.77564E-07 0.0042
    3.0000E-01   5.00299E-07 0.0037
    4.0000E-01   2.80715E-07 0.0049
    5.0000E-01   3.48891E-07 0.0043
    6.0000E-01   2.26871E-07 0.0054
    7.0000E-01   2.18469E-06 0.0018
    1.0000E-02   9.76824E-11 0.1933
    2.0000E-02   1.93648E-10 0.1332
    3.0000E-02   4.16864E-10 0.0912
    4.0000E-02   6.01950E-10 0.0768
    5.0000E-02   1.26721E-09 0.0547
    6.0000E-02   3.91715E-09 0.0322
    7.0000E-02   8.58476E-09 0.0218
    8.0000E-02   1.84716E-08 0.0152
    9.0000E-02   2.28919E-08 0.0137
    1.0000E-01   2.86677E-08 0.0126
    2.0000E-01   5.57503E-07 0.0030
    3.0000E-01   4.90040E-07 0.0027
    4.0000E-01   2.65285E-07 0.0037
    5.0000E-01   3.36755E-07 0.0032
    6.0000E-01   2.33062E-07 0.0038
    7.0000E-01   2.16180E-06 0.0013
    1.0000E-02   1.42707E-10 0.6178
    2.0000E-02   6.39160E-10 0.3536
    3.0000E-02   7.80500E-11 1.0000
    4.0000E-02   4.82388E-10 0.3863
    5.0000E-02   1.30928E-09 0.2336
    6.0000E-02   3.16257E-09 0.1475
    7.0000E-02   8.03935E-09 0.0942
    8.0000E-02   1.89058E-08 0.0695
    9.0000E-02   2.34729E-08 0.0736
    1.0000E-01   2.71587E-08 0.0518
    2.0000E-01   5.52888E-07 0.0139
    3.0000E-01   4.87952E-07 0.0127
    4.0000E-01   2.85921E-07 0.0159
    5.0000E-01   3.96763E-07 0.0135
    6.0000E-01   2.26754E-07 0.0181
    7.0000E-01   2.17898E-06 0.0060
    1.0000E-02   7.81889E-11 0.4731
    2.0000E-02   1.45720E-10 0.4146
    3.0000E-02   2.87364E-10 0.3052
    4.0000E-02   3.95875E-10 0.2483
    5.0000E-02   1.04136E-09 0.1552
    6.0000E-02   3.34459E-09 0.0866
    7.0000E-02   7.90963E-09 0.0577
    8.0000E-02   1.68667E-08 0.0430
    9.0000E-02   2.13570E-08 0.0358
    1.0000E-01   2.81047E-08 0.0350
    2.0000E-01   5.58192E-07 0.0081
    3.0000E-01   4.90086E-07 0.0073
